0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,3.8243e-06,,-3.7272e-06,1.1628e-07,-3.2878e-05,-0.028269,,,-0.019943000000000002,,,0.0011265000000000001,0.00055284,,0.0010557000000000001,0.00044554,,1.1013,,1.101,1.1019,1.1019,,,,2.5086,,0.023083000000000003,,-0.0030600000000000002,-0.003052,,,,,-0.72302,,19.012,,-0.182,20.037,-1.4975,,-1.4978,,-1.4981,
,-1.394e-07,2.5893e-05,-1.9062e-06,5.5152e-06,,,-0.032981,-0.033006,,,,0.0013629000000000002,0.00072449,,0.0013873,,,,2.0813,,,,2.0809,,-0.089415,,,0.31851,0.9978100000000001,,,,,0.00061616,,,2.7674,,,,,,-1.5021,-1.5019999999999998,,,-1.4998
-1.0582e-05,-3.023e-05,-5.9792e-05,2.1609e-05,-3.8265999999999996e-05,,,,,,,,,0.0017824000000000002,0.0051724,0.0027619,0.001661,,2.1051,2.105,2.1043,2.1085,,,-0.025078,,-1.2178,,-0.40247,-1.4773,,,,0.015031999999999998,,0.01589,,,7.6726,,2.2495,,,,,-1.4944,-1.4945,-1.4945
1.7805e-05,-8.034100000000001e-05,,-1.516e-05,,,,0.017636000000000002,0.017808,,0.011037,,,0.0013467000000000002,0.0037457999999999997,,,,,1.3727,1.3719999999999999,1.37,1.3699,,0.008403,,,,-0.40501,,,0.0099568,,-0.00066424,-0.00059254,-5.8562e-05,,3.986,10.382,-0.71053,,,-1.5007,-1.5008,-1.501,-1.4996,,-1.4995
4.7801e-06,,2.7311e-05,,,-9.055e-05,0.044568,0.044557,,0.10447999999999999,0.10447000000000001,,,,0.0012167999999999999,0.0010842,,0.00091388,,1.0744,,,1.0763,,-9.2708e-05,-1.9735,,0.0028744,,-0.65763,0.004761,0.0047385,,,0.009899799999999999,,-0.69095,26.278000000000002,4.2487,,,,,-1.4971,-1.4969,,,-1.4973
-3.0210000000000004e-06,-6.4639e-06,-0.0001881,,-2.3193000000000003e-05,-0.00038607,0.025637,0.025644,,,,,0.0029221,,,,0.0016159000000000002,,,2.2505,2.2497,,,,0.019429,-0.20167000000000002,0.50635,,0.051327,,,0.011395,0.011474,-0.013666999999999999,,-0.013916999999999999,,,6.4173,,,,,,,,-1.4944,-1.4941
1.1398e-05,2.6839999999999996e-06,,,,0.00014201,,,0.04835,0.10894000000000001,,0.10879000000000001,0.0024708,0.0014289,,,,,1.7143,,1.7131,1.7088,1.7087,,-0.015955,,-1.0701,0.0034648000000000005,0.029550999999999997,0.20237,,0.010479,,0.0033775,0.0033537,,,0.5868800000000001,8.0922,,,,-1.4996,-1.4997,,-1.4989,,-1.4985
1.5615e-06,,,1.5686000000000001e-06,,9.7706e-06,,,0.056491999999999994,0.11127000000000001,,0.11126,0.00076144,0.00021812,0.00062336,,,,,,0.8549100000000001,0.85526,0.85526,,0.0029569,,0.24238,,,,0.007592699999999999,,0.0075098,-0.0051347,,-0.0051827,,2.1477,,-0.60905,,,-1.4945,-1.4945,,,-1.495,-1.495
,1.6096e-05,-9.2604e-05,-6.1296000000000006e-06,,,0.025256,,,-0.033875999999999996,,-0.033919,0.0011205,,0.0013802999999999999,,,,1.1767,1.1767,1.1765,,1.1765,1.1763,,0.8281299999999999,-0.9769399999999999,0.0018390999999999998,0.52205,0.26621999999999996,0.0042388999999999994,0.0042054,,-0.0033921999999999997,,,-0.7148899999999999,7.7981,10.790999999999999,-0.71257,,5.8662,-1.4996,,,,,
,-1.1635e-05,,-2.3794e-06,-1.3115e-05,,0.015451,0.015463,0.015541999999999999,0.043185,,,0.0012790999999999998,0.00071191,0.0015373,,,,1.6367,,,1.6349,,,,,-0.72387,-0.0032483000000000004,,,0.0043256,0.0043398,,0.0037381999999999997,,,,,5.0747,,,5.932,-1.5004,,-1.5003,,-1.4977,
