0,1,2,3,4,5,6,7,8,9,10
,,2.8178,,,,,,,147.1082,0.0
,,,,,-2.8991,,,,,1.0
54.3778,,,0.389,,-87.2537,,,,,1.0
,,,,,,,,,,0.0
,,,0.2723,,,,,,326.0969,0.0
,,,,,,,,3.387,,1.0
,,,,0.1987,,,,,,1.0
,,3.0348,,,,,,8.9201,,1.0
,18.2119,,,,,,,,,1.0
,,,0.5202,,,17.923,,23.4769,,1.0
,,,,,,,,,,1.0
,,,,,-1.3803,,,,,0.0
,,2.679,,,,,,,,1.0
,10.9893,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,0.5957,,,,,,,1.0
27.0129,21.2824,,,,,,,,,1.0
,,,,0.0426,,,,,292.97,1.0
,,,,0.1595,,,,,,0.0
,,,,,,,,,,1.0
,,,,,,,,1.4659,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,0.0
67.7139,,,,,-133.645,63.1391,,,,0.0
,21.4568,,,,,,-11.2749,,156.726,1.0
,29.7645,,,,,,,,,0.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
,,,,,,,,,156.599,1.0
,,,,0.1348,,,,,,1.0
,,,,,,,,,,1.0
,,,0.4004,,,,,,,1.0
,,3.6199,,,,,,,,0.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,29.3758,,,,,,,,,1.0
,,,,0.2888,,,,,,0.0
37.7642,,,,,,,,,,0.0
,,,,0.0976,,73.4846,,,,1.0
,,,0.3735,,,,,,,1.0
,,,,,,,,,,1.0
,23.9203,3.2301,,,,,,,122.7138,0.0
,,,,,,12.4697,,,,1.0
28.6317,,,,0.2141,,,,,148.259,1.0
,17.5294,,,,,,,,,1.0
48.3426,16.9195,,,,,,4.1885,0.386,,1.0
,,,,,15.5585,,,,,1.0
36.4863,,2.67,,,,,,,,0.0
,,,0.3377,,-36.7506,,,,,1.0
,,,,,,,,,,1.0
,,,,,,-18.2081,,,,1.0
,,3.0156,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,18.0903,,,,,,-7.1653,,,1.0
,,,0.6458,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,138.822,1.0
,,,,,,,16.6767,,,1.0
,,,,,-34.0157,,,,,0.0
,,,,,,-51.4627,,,,0.0
,,,,,,,,,,1.0
,,,0.2373,,,,,,,1.0
,,,,,,,,,,1.0
,,,,0.0916,,67.6426,-22.1034,,,1.0
13.1823,,,,,13.6919,,,,,1.0
,,,,,,,,,,1.0
,,,,,-6.0177,,,,,1.0
47.7599,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,-35.7317,,,,,0.0
,11.4566,,,0.2544,,14.9656,,,,1.0
,,,,,,,-1.169,,,0.0
,,,,,,,,,,1.0
,,,,,,0.0001,,,,1.0
,,,,,,,,,,1.0
,,,,0.2553,,,,,,0.0
,,,,,-20.9249,,,,,1.0
,,,,,,,,,223.448,0.0
,,,,,,,-15.5937,,,1.0
,,,,,,,,,,0.0
,,,,0.0939,,,,0.32,193.564,1.0
,,,,,,,,8.402000000000001,,1.0
,,,,,41.2975,,,,,1.0
,,,,,,,,,,0.0
76.7307,,3.037,,,,,,,,1.0
,,,,,8.9039,,4.4057,,,1.0
,,,,,,,,,,1.0
,,,,,,,,49.7552,,1.0
,,,,0.3319,,,,,,1.0
,,,,0.2213,,-25.141,,,,1.0
,,,,,,,,,,1.0
,,,,,,10.0621,,,102.65,1.0
,24.7773,,0.2214,,,,,,,1.0
,,,,,,,,15.261,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,3.1561,,,,,,,,1.0
,,2.7631,,,3.4144,,,,199.632,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,312.275,0.0
,,,0.6861,,16.4756,-10.0179,,,,1.0
,,,,,35.9226,,,,140.79,0.0
,,,,,16.743,,,,,0.0
,,,,,-25.5295,,,,,0.0
,,,,,,,,,,0.0
,,,,0.1586,,,,,,1.0
,,,0.2542,0.1297,,,,,,0.0
,,,,,,-41.4465,,,,1.0
,,4.3786,,,91.0714,,-23.5411,86.2535,,0.0
23.848000000000006,,,,0.3936,12.9926,,,,,0.0
,,,,,-27.9393,,,,181.585,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
32.6685,,,,,,,,,,0.0
,,,0.3758,,,,,,,0.0
22.7173,,,,,,-5.189,,,,1.0
,,,,,,,,,,1.0
,,,0.4346,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,0.0
81.3168,,,,,,,,,,0.0
,,2.76,,,,,,,,1.0
,,,,,,,,,,1.0
262.0263,,,,,365.6528,,,,,0.0
24.6345,,,,,11.2022,,,54.418,,1.0
,,,,,,25.9978,,,,0.0
,,,,,,,,,,1.0
,,,0.2036,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,9.9813,,,1.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
,,,,0.1538,,,,,,0.0
,,,,0.3161,,,,,,0.0
,,,,,,17.5153,,47.3012,,1.0
,,2.6875,,,,,,,,0.0
,,,,,,13.8432,,,151.616,1.0
,,,,,,,,,,1.0
,,,,,83.1377,,29.8495,,,1.0
,,,,,,54.7333,,,249.407,0.0
,7.5107,,,,,,,,,1.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
,,,0.3505,,,,8.7311,,,1.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
36.709,,,,,,,,,,0.0
,,,,,,,,,,0.0
220.3177,,,,,,,,,,0.0
,,,,,,,,,,0.0
,,3.0722,0.1727,,,,,2.3981,,1.0
20.9457,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,0.0
59.6387,,,0.3109,,,,10.9432,,257.8417,0.0
,,,,,,,,,,1.0
,,2.5126,,,,,,,,1.0
,,,,,,85.1413,,,,0.0
,,2.2613,,,,,-6.5841,,,1.0
,67.3286,,,,,,,65.4676,,0.0
,,,0.2532,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
,,,,,,,12.8331,,,1.0
,,,,,,,,,,1.0
12.863,,,,,,,,,,1.0
,14.7729,,,,,,,,,0.0
,12.3864,,,,,,,,,1.0
,,,,,,,,,,1.0
,,2.7774,,,,,,,,0.0
31.1823,,,,,,,,,,1.0
,,,,,,,,,,0.0
,,,,,,,,,,0.0
,,,,,,,,,154.871,0.0
,,,0.1947,0.108,,,,,,1.0
,,,,,-13.4388,,,1.38,,1.0
,,,,,,,,,,1.0
,,,,0.4061,,,,,,0.0
,,2.1644,,,,,,,,1.0
,,,,,,,,,,0.0
26.9291,,2.7597,,0.213,,,,,,1.0
,,,,,,22.3053,,,,1.0
,,2.8199,,,,,,,,1.0
,,,,,,21.7073,,,,1.0
,,,,,,,,,145.416,1.0
21.435,,,,,,,,,,1.0
,,,,,,21.1802,,,,0.0
44.7031,,,,,,34.1904,,,,1.0
,,,,,,,,,,1.0
,,,,,,,,23.0198,,0.0
,,,,,,,,,,1.0
,,2.3375,,,,,,,,1.0
,,2.5132,,,,,,,,1.0
,37.2822,,,,,,,,,1.0
,,2.6894,,,,,,,,0.0
,,,,,,,,,,1.0
93.3967,,,,,,,,,,0.0
,,,,0.3148,,-11.1001,,,,0.0
,,,,,,,,,,0.0
,,2.2576,0.4779,,,-9.9437,,,,0.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
,,3.2888,,,,,,2.5540000000000003,,1.0
,,,,,,,,,190.318,1.0
,4.6845,,,,,,,,56.1688,0.0
,,,,,,,,,,1.0
,,2.3086,,,,-4.0310000000000015,,,,0.0
,16.2483,,,,,,,,,1.0
,,,,,,,,,,0.0
,6.9876,2.1818,,,-11.7396,,,,221.821,0.0
,,,,,,-9.215,,,,0.0
,,,,,,,,60.172,,0.0
,,,,,-235.6526,,,,,0.0
,,,,0.0833,,,,,,1.0
,,,,0.068,,,,,,0.0
,,,,,,,,3.1075,,1.0
,,,,,,,,,,1.0
,,,,,,,,,,0.0
,,,,,,,,,,1.0
,,,,,,68.3573,-25.4877,,,1.0
,,3.0598,,,,,,,,0.0
,15.6052,,,,,,,,,0.0
,,,,,,,,,,0.0
,,2.9279,,,,,8.6959,,,1.0
,,,,,,,,,232.795,0.0
,,,,,,,,,222.1,1.0
,,,,,,,,,,1.0
24.0385,,2.9082,,,-12.7252,,,,,0.0
,,3.5877,,,,,,,,0.0
,,,,,,,,,,1.0
21.1752,,,,,,,,,,1.0
,,,,,,32.6702,,,,1.0
,,,,,,,,,,0.0
21.7089,14.8872,,,,,,,,,1.0
,,,0.1757,,216.646,,23.1994,58.5112,,0.0
,,,,,,,,,,1.0
,,,,,,,,2.701,,1.0
,,,,0.1458,,,,,95.0646,1.0
90.5299,,,,,,,,2.039,,1.0
,11.4549,,,,,,,,,0.0
,,2.608,,,,,7.7336,,,1.0
