tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,Y
4.48876277309541,,2.30533303542439,8.31756238356791,,-1.99885744172977,,-1.5925578639688,0.41126426837901897,0.73691125207928,,0.719005597606862,,0.0
4.60146819849475,5.19738941683939,,3.9165738456604,,-1.93754674421747,,,0.5889726992606801,0.8083182999911659,,0.286238640286422,0.0729294789771034,0.0
9.93289144784483,,8.32630339172727,,4.2595176859462205,,,-1.31285343659375,0.580153661352914,,,0.4933698360525221,0.0550319825202944,0.0
4.88559352362849,4.49265424554147,,,3.69970177772679,,-1.13174980394003,,0.142690342111958,,,,,
,4.69049889475001,6.760482681520308,8.557119974539349,3.46110137816496,-1.58702289466572,-1.16681808773052,,0.4279496168994521,0.268134502718482,,,0.0655657102666681,
9.47848454869785,7.7844107576419805,,3.74967836250664,,-1.32880304659377,,,0.972600867417399,0.57787833506486,,0.416350330084937,,
,,,,2.4795941090582403,-0.547543483150506,,,0.935677524671068,0.7143622919174549,,0.68535282561029,-0.012250284083709,
3.43484976576031,,,1.87151626052308,2.8619788486954505,-0.59572223886064,-1.50306790062337,,,,,0.225799660091987,-0.0266960144240903,1.0
,6.64117899104512,,,4.04488584062133,-1.3215758476063102,-1.5712754360375902,,,,0.108829300273564,0.3935348671663621,,
9.493106156308867,,,3.70317741293043,2.50557125850781,-0.535382727324508,,,0.9370459398645872,,,0.714383747049302,0.0520779065490509,
5.53041876166301,,,,,-1.14600062866678,,,0.8527950870659878,0.7456867915264058,0.7642947463840258,,0.0121783977953104,
,,0.702660952740919,0.922617189728818,3.6419826077715,,,,0.632834855465155,0.209191863260046,,,-0.0312083635206024,1.0
6.66517544461114,,,6.91415112150192,2.9518804678652204,-0.78253965144133,-1.2339610174080802,,,,0.7073503110844399,,0.0769104391697478,
2.78969057522215,9.88712758037534,5.54411179427888,,,,-1.76630082163333,-1.2404542769422902,0.279406452210614,,,,0.0187524340778768,0.0
5.936028979512,1.90773163760568,,,4.4337820202544505,-1.69212827364354,,,0.45276563093845,0.243988290386734,,0.159554602387594,,
2.50710945151017,1.81016493493706,4.08873302393525,,4.26530014183555,-1.47162618957667,,-1.22479232541522,0.277001233086411,0.561850142393667,0.30410580082790195,0.0652318910828757,,1.0
1.18389937187283,5.953624927359071,9.03311004964737,,,,-1.20401052405344,-1.90280748648702,0.14234565319185502,0.892537244956769,0.0757017543845926,,,
,9.139138502814037,,3.905001546274181,4.61166690466044,-1.16212490340291,,,,,0.522348950537745,,0.0541895031121165,
4.293045330465359,1.26042904940624,,,,,,,0.34495270096635305,0.0773823250698834,0.7336159659644871,0.9086170085852692,-0.0244795317893533,
5.094262531286558,1.4445477191052698,9.4860655054578,,4.91836329825452,,-1.96721850923635,,,,,0.9250564410562272,,
,4.19061472366642,4.4157100175527315,1.30959124702855,,-0.834992475967109,-0.999660733085265,,,,0.476940506473461,0.122640824741231,0.0313899042229766,0.0
9.041925828535698,0.7451151564105409,,4.67063704665448,4.35793860760513,,,,0.903154729443238,0.348441830516764,0.464309423760539,,0.0270941191445242,
,,,,3.24788840857951,-1.21801217487981,-1.39630281466438,-0.6335734190353189,0.380777120513335,,0.222323425585998,0.768242530493072,,
8.10774326493888,6.1714520935430714,,,,-0.6740337043353011,,,0.9526303110887232,,0.32614449200508194,0.537233495187021,0.0708616304359325,
5.781347530022138,,4.37742872617765,6.42529774644041,2.84972664089823,-0.927868498780241,-1.3888682956788898,-0.5329898464391011,,,,,0.0263743586499127,0.0
0.6736639474026391,,,,3.31055442700535,-1.8533762363707096,-0.575758251681854,,0.430320563932385,,,,,1.0
,,4.59327760476362,2.8607829383037595,,-1.03990391321749,-0.694407903975365,,0.694118336541155,,0.152492219541802,0.6299311025534641,-0.0181033982005171,1.0
,,,,,,-1.2415454121888798,,0.21584122902601505,0.269156740820564,0.75753259348513,,,
3.91731258814242,,,8.888003808113211,,-1.94475085383145,-0.5300304547556789,-1.02923416059404,,0.898087693119297,0.395695798755214,,,
2.99609567721098,,,2.17648928520452,4.15759045044131,,-0.987281282290106,-1.4876739317555,0.4481435287268271,,0.6834504529576899,,-0.0108130611062882,
2.11302968606285,4.54375325988944,,9.169310379896599,3.6475730882425696,-1.75421725321996,,-0.6977151063041639,0.8046822110317511,0.894516988926633,0.8192353018828309,,,
,7.9401572352289,,4.279058664661259,,-1.52117941929376,,,0.806461630570841,,,,,
,5.47151960035859,3.15173799622332,1.92280945142265,4.76546473635747,,,,0.7504353182345949,0.769088214556091,,0.864379822155715,0.0255526921873123,0.0
,,,9.99228117305826,,-1.3930018199072,,,0.103329994402075,0.355277316020146,,,,1.0
,6.14730706296422,,,,-1.5572760749339198,-0.7097783840895749,,,,0.6027509190797421,0.642425768157417,,
,0.9979845324559492,1.4673483737485098,,2.63022249175448,,,-0.981967963878659,,,,0.201584923342162,,
1.25026944232882,4.66911823913289,,,,-1.86052055916018,-0.7138457905619641,,,0.117856467099343,,0.854536107342284,,
,,,,4.12312257072462,-1.48995022489213,,,,,,0.8479667837006079,0.0340002613838295,0.0
,,,,3.9783614150139504,,-0.552625931130908,-1.55560716917899,,0.8248609599307389,,,0.0565868368683675,0.0
,3.3122364517314904,,,,,-1.55748472819687,,0.604779880107146,0.5820820858994731,0.12993089516668502,,-0.0513155577283149,1.0
,5.20686055496734,8.0393726163522,,,-0.554690875984682,,-0.973888885453716,,0.757849757014707,,0.6914932106840141,0.0681903350384789,0.0
,,7.601468082058071,,4.05573606493649,,-1.5979911883252902,-1.31918744343427,0.7419338759969799,0.8887384557073459,,0.765132855235613,0.0982049372157855,0.0
1.68210385568788,,,6.000813025351241,3.9788386380378,,-1.28016263524486,-1.7491456532906595,,0.0602700180219882,,0.875377386808284,-0.022847680300682,
,,7.256288485477389,7.23711973412666,3.64428048657652,,,,0.256754802186702,,0.0953472577019036,,0.0157830343061327,
,,,7.33609666316244,4.14893440146192,,,-1.06696730025836,,0.6017988550569771,,0.266251156808682,0.0575053618377482,0.0
,,2.45257806133183,9.08883390505124,,,,-1.7950485846854498,0.351046004791367,,0.6557984233850029,,,1.0
3.48991313783261,8.5901617134665,,7.64082905181227,,-0.6732656556721189,-0.850636330713879,,0.5448817945818559,,,,0.0713260817837875,0.0
,3.08895990695651,,,,,,,0.9753291050397712,,0.624944832593058,0.319099276243021,0.0224689256543333,0.0
,,,6.79961630150481,3.3202204858468995,,-1.91303608558978,,0.0798414375160285,,,0.514706815791741,,
,,,,,,-1.48052577846041,-1.17818220499894,,,0.201340496478131,0.898751667663285,-0.0104834088606338,
4.78071330094865,8.453342557460031,2.75518794596618,,,,,,,,,0.292634388226655,,
2.22637002269458,6.88992668090201,2.26100132678406,,3.4280957953906697,,-1.3595212366091,-1.43834204824155,,,0.7525383325801949,,,1.0
8.50158492008253,,,8.67013683366263,,,,-0.8200942101687769,0.242129684288276,0.499773922749155,0.507040160467487,,,0.0
