number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
,,71.9112823925,,,,,,,,,,898.76,,,,,,,,,,,100.135763989832,,,,,,,51.651210053589296,,,,,,,,,,,,,,,,,,,103.360496429836,,,,3.53937962917587,,1.29543276357938,,,,,,,,,,,,,16.786807500000002,,,,,,,,,,1.225,1.34370962471642,,4.0
6.0,,,,,,,192.981,,61.503166479612204,,,,,,,,764.1,,,,,,,,,,,,,,,,,,1.4268091691351297,,,,,,,,,,,,,,,,,,6.40232364241804,,,,,,9.67040367421248,,,,18.147872004240803,,,,,,,166.405188085182,,,,,,,,,,,100.25
7.0,,,80.70460588839791,,,,192.981,,,,,,,,1.8958895516739,1.06061183343608,,,,,,105.342105263158,,,,,,,,,5895.918428571429,,,,,,,,,,,105.816052631579,,,,,,,,,7.518857142857139,,,,,,,1.66092105263158,,,,,,,,,,52.6172397368421,138.251402032894,136.868776112295,,,,,,1.4871990350495,,1.03947368421053,,,86.0
,,86.52800635593218,,,,1.28057809588712,,,,45.5438764681202,,,,,,,,,,,,,,,1.32862138061742,,,,,,,,,,,,,,,,,,,,,,179.3,,,,,,,6.80135556704924,,,,,,,,,,,,0.8052475946569531,,,,35.3261777799584,,,,,,,,2.45338983050847,,,33.5
,,,,,,,,,,,,,,,,,,,,103.947657982275,,,,,1.38207679901076,,,,,,,,,,,,,,,1587.04632572588,,,,,,,,,,,,,,,,,,8.424,,5.9902552065834405,,,,,,,,,,31.845633923663698,4.25,,,4.76005254919288,,,,,,,3.87
,,,,,,,,,,,,700.932,661.218209065661,,,,,,,,,,,,,0.633178451574269,,,,3.7318092127009903,14980.0,,,,,,,,,,,,,,,,,,,,,,30.298514815086197,,,,,16.32,,4.89799959167005,,,,,,,,,,,4.5,,,,,,,,,,6.68
,,,,,,,,,26.6015,,,,,,,,,,,,,176.1,176.997175118701,,,,2.0,,,,,,,,,,,,,,,13.785,,,0.281987818592026,,,,,,,,,18.9996754465985,,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,2.5
3.0,,,,,,0.984339284040178,72.9845,,,,,,718.219037669087,,,,,,,,,,,157.568496283948,,1.07082634818489,,,,,,,,,,,,,,4138.96390685184,,,,,,,,,,,,34.2333333333333,32.5779594329161,32.5779594329161,,,,,11.299065841426401,,,,99.0578174668388,,,,,,,,,,,,,,,,,,2.65
,,136.93567,,,,,,,,,,,657.6964801487079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.74,,,,,61.6,,,,,,,,,,,,,,,,,,,,9.0,7.0,,,,,,,,,,,,,2.25
,,,,,,,,,6.09806097214516,,,,,,,,,520.894,,38.71426509985979,,,,,,,,,,,,,,,,0.612919028081214,,,,,,,,,,,,,,,,,35.745895823697204,28.0522617393544,,,,,,,,,,,,,,,58.55481762132529,,,,,,,,,,,,37.0
,,67.33349533,,,,1.29077748279362,,,,,,,,,,,,,,307.095401290462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.287,,,,,,,,,,,,,3.33112644358454,,,78.97341999999998,,,32.0586160830129,,,,,,,,,,,25.2
,,51.2456653846154,,,,,,,,,,,,,,,,,,342.396001400641,,,,89.68519077214191,1.25670056650299,,205.0,,,,,,,,,,,2066.92284615385,,,,,,,,,,74.35384615384609,,,,5.2503076923076915,,,,,,,,,,,,,,0.203148213514574,,,,,,,,,,,,,,,89.5
,,,,,,,,,,,,968.7820895522392,,,,,,,,,,,152.93091465867,,,,,,,,5030.9048333333285,,,,,,,,,,,,,,1.04081891141037,,,,,,6.692,5.00737313432836,,,,,,2.24373134328358,,,,,,,,,399.97342,,,,,,,,1.79175946922805,,,,,,133.5
